Index, Name, Number

Laois
1, Abbeyleix, Tel:0578731273
2, Ballylinan, Tel:0598625061
3, Mountmellick, Tel:0578697520
4, Portarlington, Tel:0578684203
5, Portlaoise dental clinic, Tel:0578692625 or 0578692626
6, Portlaoise orthodontic clinic, Tel:0578692738
7, Churchview Dental, Tel:0578662111
8, Portlaoise Dental, Tel:0578621832
9, Cedar Clinic, Tel:0578621110
10, Care Dent Denture Clinic, Tel:0578638132
11, Orthodontic Society of Ireland, Tel:0214638063
12, O'Brien John, Tel:012607749
13, Euro dental, Tel:0830378240
14, Conroy Dr.Paul BDS NUI Dip.Clin.Dent, Tel:0578620517

Carlow
1, Gillmans Dental Surgery, Tel:0599141245
2, Carlow Dental Clinic, Tel:0599139928
3, McNally Denture Clinic, Tel:0599137880
4, Pembroke Dental, Tel:0599131667
5, Carlow Dental Centre, Tel:0599173762
6, Gillmans Dental Surgery, Tel:0599141245
7, Cosmetic Denture, Tel:0599182541
8, Castle Orthodontics, Tel:0599137456
9, Kiwi Dental, Tel:0599146796

Dublin
1, Rathmines Road Dental Clinic, Tel:014062084
2, Dublin Dental University Hospital, Tel:016127391
3, MyDental Clinic, Tel:016673556
4, Dublin Dentist Clinic Tel:0879098400
5, Portobello Dental Clinic, Tel:014542022
6, Harcourt Dental Clinic, Tel:014751313
7, Beacon Dental Clinic, Tel:012135644
8, Seapoint Clinic National Dental Implant Centre, Tel:012842570
9, Shelbourne Dental Clinic, Tel:016655900
10, Milltown Dental & Implant Centre, Tel:012603741
11, MyDental Clinic Ballsbridge Tel:016673556
12, Dublin Dental Clinic, Tel:018745418
13, Frederick Dental Clinic, Tel:018786999
14, MyDental Clinic - Cherrywood, Tel:014370097
15, Grand Canal Dental Clinic, Tel:016643484
16, Burlington Dental Clinic, Tel:016684357
17, IFSC Dental Care, Tel:016701166
18, Novadent , Tel:0870991111
19, Smiles Dental Waterloo Road, Tel:016140440
20, Dental Care Ireland Knocklyon, Tel:014936909

Kilkenny
1, Dean Street Dental, Tel:0567764350
2, Friary Court Dental, Tel:0567765613
3, Kylemore Clinic, Tel:0567762531
4, Parliament Street Dental Surgery, Tel:0567752484
5, Newpark Dental Clinic, Golf Links Rd, Tel:0567712743
6, REVA Dental Kilkenny, Tel:0567763786
7, Springhill dental Clinic, Tel:0567753888
8, Lime Tree House Dental Clinic, Tel:0567763040
9, Osrai Paediatric Dentistry, Tel:0567712424
10, James McDermott, Tel:0567756222
11, Dean Street Endodontics, Tel:0567775337
12, Campion Dental Laboratory, Tel:0567770343
13, Snore.ie Kylemore Clinic, Tel:0567712323
14, Market Cross Dental, Tel:0567721386
15, Community Care Headquarters, Tel:0567784600
16, Castle Orthodontics, Tel:0567752952
17, Maeve O' Flynn Parliament Street Dental Practice, Tel:0567752484
18, Kilkenny Dental Practice, Tel:0567762329
19, Ayrfield Medical Practice, Tel:0567721320
20, Elizabeth Oakes Kilkenny Clinic, Tel:012544245

Kildare
1, Dr. Buckley - Dentist - Advanced Dentistry Ireland, Tel:045873199
2, Leixlip Dental Centre, Tel:016246655
3, Riverside Dental Practice, Tel:016102222
4, Clane Dental Surgery, Tel:045868736
5, Newbridge Medical & Dental, Tel:045491700
6, Pearls Dental Maynooth, Tel:015054276
7, Dental Options, Tel:045982483
8, Naas Dental Centre, Tel:045897017
9, Monread Dental, Tel:045898546
10, Whitewater Dental Clinic, Tel:045449296
11, Athy Dental Practice, Tel:0598633136
12, Fairgreen Dental, Tel:045530088
13, Newbridge Dental, Tel:045431676
14, Ashgrove Dental, Tel:045888218
15, Kilcullen Dental, Tel:045480816

Waterford
1, Williamstown Dental Centre, Tel:051874312
2, Waterford Dental and Waterford Braces, Tel:051854110
3, O'Connell Street Dental Clinic, Tel:051856800
4, Smiles Dental Waterford, Tel:051854229
5, Brasscock Dental Practice, Tel:051855868
6, Barry Power Dental, Tel:051874778
7, O'Hara's Dental Surgery, Tel:051873904
8, Ferrybank Dental Practice, Tel:051897805
9, Orthodontist dentist Waterford, Tel:0874648455

Tipperary
1, Clonmel Childrens Dental Clinic, Tel:0526121012
2, Dental & Orthodontic Centre, Tel:06252566
3, Premier Dental, Tel:050421523
4, Borstal Gate Dental Surgery, Tel:0526124371
5, Sarsfield Court Dental Clinic, Tel:0862758333
6, Daniel O'Connell Dental Surgery, Tel:0526121263
7, Arramore Dental Clinic, Tel:06280408
8, Premier Dental, Tel:050421418
9, Western Dental, Tel:0526121784
10, Premier Dental, Tel:06263349
11, ConfiDental, Tel:0527441111
12, David Touhy Dental Practice, Tel:051640739
13, Westgate dental, Tel:0526122385
14, The Granary Dental, Tel:0527443636
15, South Tipperary Therapy Services, Tel:0526177000
16, Hse - South, Tel:06251825
17, Liberty Square Dental, Tel:050422028
18, Moate Medical Centre and Dental Surgery, Tel:0906481444
19, St Marys Health Centre, Tel:050423211
