Index, Name, Number
1, Abbeyleix, Tel:0578731273
2, Ballylinan, Tel:0598625061
3, Mountmellick, Tel:0578697520
4, Portarlington, Tel:0578684203
5, Portlaoise dental clinic, Tel:0578692625 or 0578692626
6, Portlaoise orthodontic clinic, Tel:0578692738
7, Churchview Dental, Tel:0578662111
8, Portlaoise Dental, Tel:0578621832
9, Cedar Clinic, Tel:0578621110
10, Care Dent Denture Clinic, Tel:0578638132
11, Orthodontic Society of Ireland, Tel:0214638063
12, O'Brien John, Tel:012607749
13, Euro dental, Tel:0830378240
14, Conroy Dr.Paul BDS NUI Dip.Clin.Dent, Tel:0578620517
