Index,Name,Phone

Carlow:
1,Clayton Medical Group,Tel:0599133330,
2,Carlow Medical Centric Health,Tel:0599133292,
3,Primecare & TMB(Carlow),Tel:0599130357,
4,The Granby Clinic,Tel:0599131667,
5,Gallagher Medical Centre,Tel:0599133313,
6,Eist-Cancer Support Centre Carlow,Tel:0599139684,
7,Tullow Family Medical Centre,Tel:059181496,
8,Carlow Dental Clinic,Tel:0599139928,
9,Carlow Pain Clinic. Spinologist,Tel:0599135362,
10,Kiwi Dental,Tel:0599146796,


Kilkenny:
1,Ballyhale Health Centre,Tel:056 776 8608,
2,Ballyragget Medical Centre,Tel:056 883 3105,
3,Bennettsbridge Health Centre,Tel:056 772 7256,
4,CallanPrimary CareCentre,Tel:076 1082154,
5,Castlecomer Health Centre,Tel:056 444 1542,
6,Clogh Health Centre,Tel:056 444 2189,
7,Castlecomer Health Centre,Tel:056 444 1300,
8,Freshford Health Centre,Tel:056 883 2261,
9,Gowran Health Centre,Tel:056 772 6265,
10,Graiguenamanagh Health Centre,Tel:059 972 4495,
11,Marley Health Centre,Tel:059 972 4245,
12,Tinnahinch Health Centre,Tel:059 972 4267,
13,Inistioge Health Centre,Tel:056 775 8465,
15,Johnstown Health Centre,Tel:056 883 1618,
16,Loughboy,Tel:056 7760613,
17,Stoneyford Health Centre,Tel:056 772 8377,
18,Kilmacow Health Centre,Tel:051 885 283,
19,Mullinavat Health Centre,Tel:051 898 217,
20,Paulstown Health Centre,Tel:059 972 6314,
21,Rosbercon Health Centre,Tel:051 421 653,
22,Thomastown Health Centre,Tel:056 772 4302,
23,Urlingford Health Centre,Tel:056 883 1352,

Laois:
1,Abbeyleix Health Cent,"Tel:0578731649	",
2,Abbeyleix Health Cent,Tel:0578731359,
3,Ballylynan Health Cent,Tel:0598625108,
4,Borris-in-Ossory Health Cent,Tel:050541172,
5,Clonaslee Health Cent,Tel:0578648033,
6,Clonaslee Health Cent,Tel:0578648170,
7,Durrow Health Cent,Tel:0578736133,
8,Emo Health Cent,Tel:0578646575
9,Mountrath Health Cent,Tel:0578732422,
10,Mountrath Health Cent,Tel:0578732203,
11,Primary Care Cent,Tel:0578684200,
12,Portarlington Primary Care Cen,Tel:0578684202,
13,Portarlington Primary Care Cen,Tel:0578684203,
14,Portlaoise Health Cent,Tel:0578621135,
15,Rathdowney Health Cent,Tel:050546276,
16,Stradbally Health Cent,Tel:0578625415,

Wicklow:
1,Arklow Health Centre,Tel:040239624,
2,Aughrim Health Centre,Tel:040236316
3,Avoca Health Centre,Tel:040235170,
4,Barndarrig Health Centre,Tel:040448107,
5,Bray Health Centre,Tel:012744100,
6,Carnew Primary Care Centre,Tel:0766959090,
7,Delgany Health Centre,Tel:012875832,
8,Greystones Health Centre,Tel:012877311,
9,Kilcoole Health Centre,Tel:012018500,
10,Knockananna Health Centre,Tel:0596471111,
11,Newtown Mount Kennedy Primary Care Centre,Tel:012018500,
12,Roundwood Health Centre,Tel:012818481,
13,Shillelagh Health Centre,Tel:0539429306,
14,Tinahely Health Centre,Tel:040238238,
15,Wicklow Health Centre,Tel:040468400,

Wexford:
1,Adamstown,Tel:053 924 06 23,
2,Ballagh,Tel:053 913 64 11,
3,Ballindaggin ,Tel:053 938 88 08,
4,Blackwater,Tel:053 912 72 55,
5,Bree,Tel:053 924 78 81,
6,Bridgetown ,Tel:053 913 51 42,
7,Bunclody ,Tel:053 937 72 85,
8,Bunclody  ,Tel:053 937 63 60,
9,Camolin,Tel:053 938 31 13,
10,Castlebridge ,Tel:053 915 95 19,
11,Clonegal,Tel:053 937 73 69,
12,Clonroche,Tel:053 924 42 13,
13,Enniscorthy,Tel:053 923 34 65,
14,Ferns,Tel:053 936 64 00,
15,Gorey,Tel:053 942 13 74,
16,George's Sreet,Tel:053 912 35 22
17,Killenagh ,Tel:053 942 71 54,
18,Oylgate ,Tel:053 913 86 02,
19,Rosslare,Tel:053 913 33 14,
20,Taghmon,Tel:053 913 44 92,

Kildare:
1,HSE Beech House,Tel:045920000,
2,HSE Blessington Primary Care Centre,Tel:0766957800,
3,HSE Celbridge Primary Care Centre,Tel:019214000,
4,HSE Kildare Primary Care Centre,Tel:0766958500,
5,HSE Kilcock Primary Care Centre,Tel:019213500,
6,HSE Naas Primary Care Centre,Tel:045920800,
7,HSE Newbridge Primary Care Centre,Tel:045920900,
8,HSE Rathangan Primary Care Centre,Tel:045524438,
9,HSE St Mary Craddockstown Road,Tel:045920000
10,HSE Tallaght Integrated Academic Primary Care Centre,Tel:0766957609 or 0766957501,
11,Athy Health Centre,Tel:0598633500,
12,Ballymore Eustace Health Centre,Tel:045864145,
13,Ballytore Health Centre,Tel:0598623184,
14,Carbury Health Centre,Tel:0469553084,
15,Castledermot Health Centre,Tel:0599144429,
16,Celbridge Health Centre,Tel:016303100,
17,Clane Health Centre,Tel:045986300,
18,Johnstown Health Centre,Tel:0469541181,
19,Kildare Health Centre,Tel:045522214,
20,Kilmeage Health Centre,Tel:045860077,
21,Leixlip Health Centre,Tel:0766957700,
22,Maynooth Health Centre,Tel:016106130,
23,Monasterevin Health Centre,Tel:045529372,
24,Newbridge Health Centre,Tel:045446141,
25,HSE Rathangan Primary Care Centre,Tel:045524438,
