Index,Name,Phone	
				
1,Abbeyleix Health Cent,Tel:0578731649	
2,Abbeyleix Health Cent,Tel:0578731359
3,Ballylynan Health Cent,Tel:0598625108
4,Borris-in-Ossory Health Cent,Tel:050541172
5,Clonaslee Health Cent,Tel:0578648033
6,Clonaslee Health Cent,Tel:0578648170
7,Durrow Health Cent,Tel:0578736133
8,Emo Health Cent,Tel:0578646575	
9,Mountrath Health Cent,Tel:0578732422
10,Mountrath Health Cent,Tel:0578732203
11,Primary Care Cent,Tel:0578684200
12,Portarlington Primary Care Cen,Tel:0578684202
13,Portarlington Primary Care Cen,Tel:0578684203
14,Portlaoise Health Cent,Tel:0578621135
15,Rathdowney Health Cent,Tel:050546276
16,Stradbally Health Cent,Tel:0578625415
